match_id,game_id,event_name,team,pb_phase,map
542215,233455,Group Stage:  Decider (D),T1,ban,Abyss
542215,233454,Group Stage:  Decider (D),G2,pick,Lotus
542215,233455,Group Stage:  Decider (D),G2,pick,Lotus
542215,233454,Group Stage:  Decider (D),T1,pick,Corrode
542215,233455,Group Stage:  Decider (D),T1,pick,Corrode
542215,233454,Group Stage:  Decider (D),G2,ban,Ascent
542215,233455,Group Stage:  Decider (D),G2,ban,Ascent
542215,233454,Group Stage:  Decider (D),T1,ban,Haven
542215,233455,Group Stage:  Decider (D),T1,ban,Haven
542204,233424,Group Stage:  Decider (B),RRQ,ban,Bind
542204,233425,Group Stage:  Decider (B),RRQ,ban,Bind
542204,233424,Group Stage:  Decider (B),MIBR,ban,Lotus
542204,233425,Group Stage:  Decider (B),MIBR,ban,Lotus
542204,233424,Group Stage:  Decider (B),RRQ,pick,Corrode
542204,233425,Group Stage:  Decider (B),RRQ,pick,Corrode
542204,233424,Group Stage:  Decider (B),MIBR,pick,Abyss
542204,233425,Group Stage:  Decider (B),MIBR,pick,Abyss
542204,233424,Group Stage:  Decider (B),RRQ,ban,Sunset
542204,233425,Group Stage:  Decider (B),RRQ,ban,Sunset
542204,233424,Group Stage:  Decider (B),MIBR,ban,Ascent
542204,233425,Group Stage:  Decider (B),MIBR,ban,Ascent
542265,233460,Playoffs:  Upper Quarterfinals,PRX,ban,Abyss
542265,233461,Playoffs:  Upper Quarterfinals,PRX,ban,Abyss
542265,233462,Playoffs:  Upper Quarterfinals,PRX,ban,Abyss
542265,233460,Playoffs:  Upper Quarterfinals,G2,ban,Bind
542265,233461,Playoffs:  Upper Quarterfinals,G2,ban,Bind
542265,233462,Playoffs:  Upper Quarterfinals,G2,ban,Bind
542265,233460,Playoffs:  Upper Quarterfinals,PRX,pick,Lotus
542265,233461,Playoffs:  Upper Quarterfinals,PRX,pick,Lotus
542265,233462,Playoffs:  Upper Quarterfinals,PRX,pick,Lotus
542265,233460,Playoffs:  Upper Quarterfinals,G2,pick,Corrode
542265,233461,Playoffs:  Upper Quarterfinals,G2,pick,Corrode
542265,233462,Playoffs:  Upper Quarterfinals,G2,pick,Corrode
542265,233460,Playoffs:  Upper Quarterfinals,PRX,ban,Haven
542265,233461,Playoffs:  Upper Quarterfinals,PRX,ban,Haven
542265,233462,Playoffs:  Upper Quarterfinals,PRX,ban,Haven
542265,233460,Playoffs:  Upper Quarterfinals,G2,ban,Sunset
542265,233461,Playoffs:  Upper Quarterfinals,G2,ban,Sunset
542265,233462,Playoffs:  Upper Quarterfinals,G2,ban,Sunset
542264,233457,Playoffs:  Upper Quarterfinals,DRX,ban,Sunset
542264,233458,Playoffs:  Upper Quarterfinals,DRX,ban,Sunset
542264,233459,Playoffs:  Upper Quarterfinals,DRX,ban,Sunset
542264,233457,Playoffs:  Upper Quarterfinals,FNC,ban,Abyss
542264,233458,Playoffs:  Upper Quarterfinals,FNC,ban,Abyss
542264,233459,Playoffs:  Upper Quarterfinals,FNC,ban,Abyss
542264,233457,Playoffs:  Upper Quarterfinals,DRX,pick,Haven
542264,233458,Playoffs:  Upper Quarterfinals,DRX,pick,Haven
542264,233459,Playoffs:  Upper Quarterfinals,DRX,pick,Haven
542264,233457,Playoffs:  Upper Quarterfinals,FNC,pick,Ascent
542264,233458,Playoffs:  Upper Quarterfinals,FNC,pick,Ascent
542264,233459,Playoffs:  Upper Quarterfinals,FNC,pick,Ascent
542264,233457,Playoffs:  Upper Quarterfinals,DRX,ban,Bind
542264,233458,Playoffs:  Upper Quarterfinals,DRX,ban,Bind
542264,233459,Playoffs:  Upper Quarterfinals,DRX,ban,Bind
542264,233457,Playoffs:  Upper Quarterfinals,FNC,ban,Corrode
542264,233458,Playoffs:  Upper Quarterfinals,FNC,ban,Corrode
542264,233459,Playoffs:  Upper Quarterfinals,FNC,ban,Corrode
542266,233463,Playoffs:  Upper Quarterfinals,MIBR,ban,Lotus
542266,233464,Playoffs:  Upper Quarterfinals,MIBR,ban,Lotus
542266,233463,Playoffs:  Upper Quarterfinals,TH,ban,Abyss
542266,233464,Playoffs:  Upper Quarterfinals,TH,ban,Abyss
542266,233463,Playoffs:  Upper Quarterfinals,MIBR,pick,Corrode
542266,233464,Playoffs:  Upper Quarterfinals,MIBR,pick,Corrode
542266,233463,Playoffs:  Upper Quarterfinals,TH,pick,Sunset
542266,233464,Playoffs:  Upper Quarterfinals,TH,pick,Sunset
542266,233463,Playoffs:  Upper Quarterfinals,MIBR,ban,Ascent
542266,233464,Playoffs:  Upper Quarterfinals,MIBR,ban,Ascent
542266,233463,Playoffs:  Upper Quarterfinals,TH,ban,Bind
542266,233464,Playoffs:  Upper Quarterfinals,TH,ban,Bind
542267,233466,Playoffs:  Upper Quarterfinals,GX,ban,Corrode
542267,233467,Playoffs:  Upper Quarterfinals,GX,ban,Corrode
542267,233466,Playoffs:  Upper Quarterfinals,NRG,ban,Sunset
542267,233467,Playoffs:  Upper Quarterfinals,NRG,ban,Sunset
542267,233466,Playoffs:  Upper Quarterfinals,GX,pick,Haven
542267,233467,Playoffs:  Upper Quarterfinals,GX,pick,Haven
542267,233466,Playoffs:  Upper Quarterfinals,NRG,pick,Lotus
542267,233467,Playoffs:  Upper Quarterfinals,NRG,pick,Lotus
542267,233466,Playoffs:  Upper Quarterfinals,GX,ban,Bind
542267,233467,Playoffs:  Upper Quarterfinals,GX,ban,Bind
542267,233466,Playoffs:  Upper Quarterfinals,NRG,ban,Ascent
542267,233467,Playoffs:  Upper Quarterfinals,NRG,ban,Ascent
542273,233483,Playoffs:  Lower Round 1,G2,ban,Haven
542273,233484,Playoffs:  Lower Round 1,G2,ban,Haven
542273,233485,Playoffs:  Lower Round 1,G2,ban,Haven
542273,233483,Playoffs:  Lower Round 1,DRX,ban,Sunset
542273,233484,Playoffs:  Lower Round 1,DRX,ban,Sunset
542273,233485,Playoffs:  Lower Round 1,DRX,ban,Sunset
542273,233483,Playoffs:  Lower Round 1,G2,pick,Lotus
542273,233484,Playoffs:  Lower Round 1,G2,pick,Lotus
542273,233485,Playoffs:  Lower Round 1,G2,pick,Lotus
542273,233483,Playoffs:  Lower Round 1,DRX,pick,Abyss
542273,233484,Playoffs:  Lower Round 1,DRX,pick,Abyss
542273,233485,Playoffs:  Lower Round 1,DRX,pick,Abyss
542273,233483,Playoffs:  Lower Round 1,G2,ban,Ascent
542273,233484,Playoffs:  Lower Round 1,G2,ban,Ascent
542273,233485,Playoffs:  Lower Round 1,G2,ban,Ascent
542273,233483,Playoffs:  Lower Round 1,DRX,ban,Corrode
542273,233484,Playoffs:  Lower Round 1,DRX,ban,Corrode
542273,233485,Playoffs:  Lower Round 1,DRX,ban,Corrode
542274,233486,Playoffs:  Lower Round 1,GX,ban,Corrode
542274,233487,Playoffs:  Lower Round 1,GX,ban,Corrode
542274,233488,Playoffs:  Lower Round 1,GX,ban,Corrode
542274,233486,Playoffs:  Lower Round 1,TH,ban,Abyss
542274,233487,Playoffs:  Lower Round 1,TH,ban,Abyss
542274,233488,Playoffs:  Lower Round 1,TH,ban,Abyss
542274,233486,Playoffs:  Lower Round 1,GX,pick,Ascent
542274,233487,Playoffs:  Lower Round 1,GX,pick,Ascent
542274,233488,Playoffs:  Lower Round 1,GX,pick,Ascent
542274,233486,Playoffs:  Lower Round 1,TH,pick,Lotus
542274,233487,Playoffs:  Lower Round 1,TH,pick,Lotus
542274,233488,Playoffs:  Lower Round 1,TH,pick,Lotus
542274,233486,Playoffs:  Lower Round 1,GX,ban,Haven
542274,233487,Playoffs:  Lower Round 1,GX,ban,Haven
542274,233488,Playoffs:  Lower Round 1,GX,ban,Haven
542274,233486,Playoffs:  Lower Round 1,TH,ban,Sunset
542274,233487,Playoffs:  Lower Round 1,TH,ban,Sunset
542274,233488,Playoffs:  Lower Round 1,TH,ban,Sunset
542268,233469,Playoffs:  Upper Semifinals,PRX,ban,Abyss
542268,233470,Playoffs:  Upper Semifinals,PRX,ban,Abyss
542268,233471,Playoffs:  Upper Semifinals,PRX,ban,Abyss
542268,233469,Playoffs:  Upper Semifinals,FNC,ban,Sunset
542268,233470,Playoffs:  Upper Semifinals,FNC,ban,Sunset
542268,233471,Playoffs:  Upper Semifinals,FNC,ban,Sunset
542268,233469,Playoffs:  Upper Semifinals,PRX,pick,Bind
542268,233470,Playoffs:  Upper Semifinals,PRX,pick,Bind
542268,233471,Playoffs:  Upper Semifinals,PRX,pick,Bind
542268,233469,Playoffs:  Upper Semifinals,FNC,pick,Haven
542268,233470,Playoffs:  Upper Semifinals,FNC,pick,Haven
542268,233471,Playoffs:  Upper Semifinals,FNC,pick,Haven
542268,233469,Playoffs:  Upper Semifinals,PRX,ban,Ascent
542268,233470,Playoffs:  Upper Semifinals,PRX,ban,Ascent
542268,233471,Playoffs:  Upper Semifinals,PRX,ban,Ascent
542268,233469,Playoffs:  Upper Semifinals,FNC,ban,Corrode
542268,233470,Playoffs:  Upper Semifinals,FNC,ban,Corrode
542268,233471,Playoffs:  Upper Semifinals,FNC,ban,Corrode
542269,233472,Playoffs:  Upper Semifinals,MIBR,ban,Lotus
542269,233473,Playoffs:  Upper Semifinals,MIBR,ban,Lotus
542269,233474,Playoffs:  Upper Semifinals,MIBR,ban,Lotus
542269,233472,Playoffs:  Upper Semifinals,NRG,ban,Sunset
542269,233473,Playoffs:  Upper Semifinals,NRG,ban,Sunset
542269,233474,Playoffs:  Upper Semifinals,NRG,ban,Sunset
542269,233472,Playoffs:  Upper Semifinals,MIBR,pick,Abyss
542269,233473,Playoffs:  Upper Semifinals,MIBR,pick,Abyss
542269,233474,Playoffs:  Upper Semifinals,MIBR,pick,Abyss
542269,233472,Playoffs:  Upper Semifinals,NRG,pick,Haven
542269,233473,Playoffs:  Upper Semifinals,NRG,pick,Haven
542269,233474,Playoffs:  Upper Semifinals,NRG,pick,Haven
542269,233472,Playoffs:  Upper Semifinals,MIBR,ban,Ascent
542269,233473,Playoffs:  Upper Semifinals,MIBR,ban,Ascent
542269,233474,Playoffs:  Upper Semifinals,MIBR,ban,Ascent
542269,233472,Playoffs:  Upper Semifinals,NRG,ban,Bind
542269,233473,Playoffs:  Upper Semifinals,NRG,ban,Bind
542269,233474,Playoffs:  Upper Semifinals,NRG,ban,Bind
542277,233492,Playoffs:  Lower Round 2,TH,ban,Sunset
542277,233493,Playoffs:  Lower Round 2,TH,ban,Sunset
542277,233494,Playoffs:  Lower Round 2,TH,ban,Sunset
542277,233492,Playoffs:  Lower Round 2,PRX,ban,Haven
542277,233493,Playoffs:  Lower Round 2,PRX,ban,Haven
542277,233494,Playoffs:  Lower Round 2,PRX,ban,Haven
542277,233492,Playoffs:  Lower Round 2,TH,pick,Ascent
542277,233493,Playoffs:  Lower Round 2,TH,pick,Ascent
542277,233494,Playoffs:  Lower Round 2,TH,pick,Ascent
542277,233492,Playoffs:  Lower Round 2,PRX,pick,Bind
542277,233493,Playoffs:  Lower Round 2,PRX,pick,Bind
542277,233494,Playoffs:  Lower Round 2,PRX,pick,Bind
542277,233492,Playoffs:  Lower Round 2,TH,ban,Abyss
542277,233493,Playoffs:  Lower Round 2,TH,ban,Abyss
542277,233494,Playoffs:  Lower Round 2,TH,ban,Abyss
542277,233492,Playoffs:  Lower Round 2,PRX,ban,Corrode
542277,233493,Playoffs:  Lower Round 2,PRX,ban,Corrode
542277,233494,Playoffs:  Lower Round 2,PRX,ban,Corrode
542276,233489,Playoffs:  Lower Round 2,MIBR,ban,Abyss
542276,233490,Playoffs:  Lower Round 2,MIBR,ban,Abyss
542276,233491,Playoffs:  Lower Round 2,MIBR,ban,Abyss
542276,233489,Playoffs:  Lower Round 2,DRX,ban,Corrode
542276,233490,Playoffs:  Lower Round 2,DRX,ban,Corrode
542276,233491,Playoffs:  Lower Round 2,DRX,ban,Corrode
542276,233489,Playoffs:  Lower Round 2,MIBR,pick,Sunset
542276,233490,Playoffs:  Lower Round 2,MIBR,pick,Sunset
542276,233491,Playoffs:  Lower Round 2,MIBR,pick,Sunset
542276,233489,Playoffs:  Lower Round 2,DRX,pick,Ascent
542276,233490,Playoffs:  Lower Round 2,DRX,pick,Ascent
542276,233491,Playoffs:  Lower Round 2,DRX,pick,Ascent
542276,233489,Playoffs:  Lower Round 2,MIBR,ban,Haven
542276,233490,Playoffs:  Lower Round 2,MIBR,ban,Haven
542276,233491,Playoffs:  Lower Round 2,MIBR,ban,Haven
542276,233489,Playoffs:  Lower Round 2,DRX,ban,Lotus
542276,233490,Playoffs:  Lower Round 2,DRX,ban,Lotus
542276,233491,Playoffs:  Lower Round 2,DRX,ban,Lotus
542270,233475,Playoffs:  Upper Final,FNC,ban,Corrode
542270,233476,Playoffs:  Upper Final,FNC,ban,Corrode
542270,233475,Playoffs:  Upper Final,NRG,ban,Haven
542270,233476,Playoffs:  Upper Final,NRG,ban,Haven
542270,233475,Playoffs:  Upper Final,FNC,pick,Ascent
542270,233476,Playoffs:  Upper Final,FNC,pick,Ascent
542270,233475,Playoffs:  Upper Final,NRG,pick,Abyss
542270,233476,Playoffs:  Upper Final,NRG,pick,Abyss
542270,233475,Playoffs:  Upper Final,FNC,ban,Sunset
542270,233476,Playoffs:  Upper Final,FNC,ban,Sunset
542270,233475,Playoffs:  Upper Final,NRG,ban,Bind
542270,233476,Playoffs:  Upper Final,NRG,ban,Bind
542278,233495,Playoffs:  Lower Round 3,DRX,ban,Sunset
542278,233496,Playoffs:  Lower Round 3,DRX,ban,Sunset
542278,233495,Playoffs:  Lower Round 3,PRX,ban,Abyss
542278,233496,Playoffs:  Lower Round 3,PRX,ban,Abyss
542278,233495,Playoffs:  Lower Round 3,DRX,pick,Ascent
542278,233496,Playoffs:  Lower Round 3,DRX,pick,Ascent
542278,233495,Playoffs:  Lower Round 3,PRX,pick,Lotus
542278,233496,Playoffs:  Lower Round 3,PRX,pick,Lotus
542278,233495,Playoffs:  Lower Round 3,DRX,ban,Bind
542278,233496,Playoffs:  Lower Round 3,DRX,ban,Bind
542278,233495,Playoffs:  Lower Round 3,PRX,ban,Haven
542278,233496,Playoffs:  Lower Round 3,PRX,ban,Haven
542279,233498,Playoffs:  Lower Final,FNC,ban,Abyss
542279,233499,Playoffs:  Lower Final,FNC,ban,Abyss
542279,233500,Playoffs:  Lower Final,FNC,ban,Abyss
542279,233501,Playoffs:  Lower Final,FNC,ban,Abyss
542279,233498,Playoffs:  Lower Final,DRX,ban,Lotus
542279,233499,Playoffs:  Lower Final,DRX,ban,Lotus
542279,233500,Playoffs:  Lower Final,DRX,ban,Lotus
542279,233501,Playoffs:  Lower Final,DRX,ban,Lotus
542279,233498,Playoffs:  Lower Final,FNC,pick,Sunset
542279,233499,Playoffs:  Lower Final,FNC,pick,Sunset
542279,233500,Playoffs:  Lower Final,FNC,pick,Sunset
542279,233501,Playoffs:  Lower Final,FNC,pick,Sunset
542279,233498,Playoffs:  Lower Final,DRX,pick,Corrode
542279,233499,Playoffs:  Lower Final,DRX,pick,Corrode
542279,233500,Playoffs:  Lower Final,DRX,pick,Corrode
542279,233501,Playoffs:  Lower Final,DRX,pick,Corrode
542279,233498,Playoffs:  Lower Final,FNC,pick,Haven
542279,233499,Playoffs:  Lower Final,FNC,pick,Haven
542279,233500,Playoffs:  Lower Final,FNC,pick,Haven
542279,233501,Playoffs:  Lower Final,FNC,pick,Haven
542279,233498,Playoffs:  Lower Final,DRX,pick,Bind
542279,233499,Playoffs:  Lower Final,DRX,pick,Bind
542279,233500,Playoffs:  Lower Final,DRX,pick,Bind
542279,233501,Playoffs:  Lower Final,DRX,pick,Bind
542272,233478,Playoffs:  Grand Final,NRG,ban,Haven
542272,233479,Playoffs:  Grand Final,NRG,ban,Haven
542272,233480,Playoffs:  Grand Final,NRG,ban,Haven
542272,233481,Playoffs:  Grand Final,NRG,ban,Haven
542272,233482,Playoffs:  Grand Final,NRG,ban,Haven
542272,233478,Playoffs:  Grand Final,NRG,ban,Bind
542272,233479,Playoffs:  Grand Final,NRG,ban,Bind
542272,233480,Playoffs:  Grand Final,NRG,ban,Bind
542272,233481,Playoffs:  Grand Final,NRG,ban,Bind
542272,233482,Playoffs:  Grand Final,NRG,ban,Bind
542272,233478,Playoffs:  Grand Final,NRG,pick,Corrode
542272,233479,Playoffs:  Grand Final,NRG,pick,Corrode
542272,233480,Playoffs:  Grand Final,NRG,pick,Corrode
542272,233481,Playoffs:  Grand Final,NRG,pick,Corrode
542272,233482,Playoffs:  Grand Final,NRG,pick,Corrode
542272,233478,Playoffs:  Grand Final,FNC,pick,Lotus
542272,233479,Playoffs:  Grand Final,FNC,pick,Lotus
542272,233480,Playoffs:  Grand Final,FNC,pick,Lotus
542272,233481,Playoffs:  Grand Final,FNC,pick,Lotus
542272,233482,Playoffs:  Grand Final,FNC,pick,Lotus
542272,233478,Playoffs:  Grand Final,NRG,pick,Abyss
542272,233479,Playoffs:  Grand Final,NRG,pick,Abyss
542272,233480,Playoffs:  Grand Final,NRG,pick,Abyss
542272,233481,Playoffs:  Grand Final,NRG,pick,Abyss
542272,233482,Playoffs:  Grand Final,NRG,pick,Abyss
542272,233478,Playoffs:  Grand Final,FNC,pick,Ascent
542272,233479,Playoffs:  Grand Final,FNC,pick,Ascent
542272,233480,Playoffs:  Grand Final,FNC,pick,Ascent
542272,233481,Playoffs:  Grand Final,FNC,pick,Ascent
542272,233482,Playoffs:  Grand Final,FNC,pick,Ascent
